stage	trans
G27	TRINITY_DN113743_c3_g1_i2
G27	TRINITY_DN121173_c3_g2_i1
G27	TRINITY_DN136857_c1_g1_i6
G27	TRINITY_DN137940_c0_g1_i2
G27	TRINITY_DN140205_c3_g1_i1
G27	TRINITY_DN140376_c2_g4_i3
G27	TRINITY_DN142125_c1_g1_i1
G27	TRINITY_DN143046_c4_g1_i2
G31	TRINITY_DN114782_c1_g1_i1
G31	TRINITY_DN121869_c4_g1_i2
G31	TRINITY_DN122518_c4_g1_i1
G31	TRINITY_DN125468_c1_g1_i1
G31	TRINITY_DN127764_c4_g1_i1
G31	TRINITY_DN129364_c1_g2_i1
G31	TRINITY_DN129440_c3_g1_i1
G31	TRINITY_DN131820_c5_g1_i5
G31	TRINITY_DN132525_c3_g3_i2
G31	TRINITY_DN133231_c4_g1_i2
G31	TRINITY_DN140067_c0_g1_i2
G31	TRINITY_DN141248_c9_g1_i2
G31	TRINITY_DN142431_c6_g4_i1
G31	TRINITY_DN143761_c1_g1_i5
G31	TRINITY_DN144221_c7_g5_i1
G43	TRINITY_DN110529_c0_g1_i3
G43	TRINITY_DN110725_c0_g1_i1
G43	TRINITY_DN112509_c0_g1_i1
G43	TRINITY_DN113105_c0_g1_i1
G43	TRINITY_DN113913_c0_g1_i1
G43	TRINITY_DN114361_c0_g2_i1
G43	TRINITY_DN114508_c8_g2_i2
G43	TRINITY_DN114782_c1_g1_i1
G43	TRINITY_DN114798_c2_g1_i3
G43	TRINITY_DN114900_c1_g2_i1
G43	TRINITY_DN115187_c3_g6_i1
G43	TRINITY_DN115774_c5_g4_i2
G43	TRINITY_DN115905_c5_g1_i5
G43	TRINITY_DN116367_c5_g1_i4
G43	TRINITY_DN116478_c0_g2_i1
G43	TRINITY_DN116526_c5_g1_i1
G43	TRINITY_DN116780_c3_g1_i3
G43	TRINITY_DN117104_c10_g2_i1
G43	TRINITY_DN117258_c1_g4_i7
G43	TRINITY_DN117410_c0_g1_i22
G43	TRINITY_DN117635_c0_g1_i1
G43	TRINITY_DN117883_c3_g2_i3
G43	TRINITY_DN118034_c8_g2_i3
G43	TRINITY_DN118579_c5_g2_i1
G43	TRINITY_DN118664_c1_g1_i1
G43	TRINITY_DN118706_c6_g1_i1
G43	TRINITY_DN118771_c0_g1_i6
G43	TRINITY_DN118912_c2_g2_i1
G43	TRINITY_DN118939_c3_g3_i2
G43	TRINITY_DN119036_c4_g1_i3
G43	TRINITY_DN119053_c0_g1_i1
G43	TRINITY_DN119391_c4_g3_i1
G43	TRINITY_DN119498_c7_g1_i1
G43	TRINITY_DN119630_c6_g2_i2
G43	TRINITY_DN120037_c0_g2_i2
G43	TRINITY_DN120039_c9_g1_i1
G43	TRINITY_DN120133_c4_g5_i1
G43	TRINITY_DN120574_c5_g1_i1
G43	TRINITY_DN120883_c5_g6_i1
G43	TRINITY_DN120903_c7_g3_i2
G43	TRINITY_DN121030_c4_g4_i1
G43	TRINITY_DN121124_c2_g2_i8
G43	TRINITY_DN121134_c7_g2_i3
G43	TRINITY_DN121593_c9_g1_i1
G43	TRINITY_DN121615_c1_g1_i4
G43	TRINITY_DN121869_c4_g1_i2
G43	TRINITY_DN122111_c3_g1_i3
G43	TRINITY_DN123188_c6_g3_i1
G43	TRINITY_DN123293_c11_g1_i1
G43	TRINITY_DN123706_c1_g3_i1
G43	TRINITY_DN123991_c0_g1_i3
G43	TRINITY_DN124446_c4_g1_i1
